"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
9.2,3.8,0.7,-1.9,1.2,0.8,-65.2,-24.1,-5.1
9.1,3.7,0.7,-3.1,1.4,1.4,-65.2,-24.1,-5.1
9.1,3.7,0.7,-0.6,1.6,0.2,-64.9,-24.5,-6.2
9.1,3.8,0.8,-0.4,1.1,0.1,-64.9,-24.5,-6.2
9.1,3.8,0.7,-0.9,-0.3,-0.2,-64.5,-23.8,-6.6
9.1,3.8,0.7,-0.3,-1.1,-0.2,-64.5,-23.8,-6.6
9.1,3.7,0.7,-0.4,-1.4,-0.3,-65.2,-24.5,-7.4
9.1,3.8,0.7,-0.8,-1.3,-0.5,-65.2,-24.5,-7.4
9.1,3.8,0.6,-1.2,-1,-0.8,-64.1,-24.1,-5.8
9.1,3.8,0.6,-1.3,-1.2,-1.1,-64.1,-24.1,-5.8
9.1,3.8,0.6,-1.3,-1.1,-1.2,-64.9,-24.4,-5.8
9.1,3.7,0.6,-0.7,-1.3,-1.4,-64.9,-24.4,-5.8
9.1,3.7,0.6,-0.3,-1.8,-1.6,-64.9,-23.7,-6.6
9.1,3.7,0.6,-0.1,-1.3,-1.7,-64.9,-23.7,-6.6
9.1,3.7,0.6,-0.1,-1.1,-1.8,-64.1,-23.7,-5.9
9.1,3.7,0.5,-0.4,-1.1,-1.6,-64.1,-23.7,-5.9
9.1,3.7,0.5,0,-0.8,-1.2,-64.9,-24.4,-5.9
9.1,3.7,0.5,0.1,-0.8,-1.1,-64.9,-24.4,-5.9
9.1,3.7,0.5,-0.2,-1,-1.1,-64.5,-24,-5.9
9.1,3.8,0.5,0.6,-1.1,-1.7,-64.5,-24,-5.9
9.1,3.7,0.5,0.3,-1.5,-1.8,-65.6,-24,-6.7
9.2,3.7,0.5,0.9,-1.5,-2.3,-65.6,-24,-6.7
9.1,3.7,0.6,1.1,-1.4,-1.9,-64.5,-24.8,-5.9
9.2,3.7,0.5,-0.3,-2.6,-1.4,-64.5,-24.8,-5.9
9.2,3.8,0.6,0.5,-2.5,-0.7,-64.9,-24.4,-6.4
